ID,Product Name,Product Description,Price,Color,Product Type,Occasion,Skin Tone Category
EET23207TT,Classic Kameez,Printed | Cambric,2990,BLUE,Top,Casual,Deep/Dark
EET23205,Drop Shoulder,Printed | Cambric,2690,TEAL,Other,Casual,Light/Fair
EET23212,Classic Kurta,Dyed | Cambric,3190,RED,Top,Casual,Deep/Dark
EET23202,Classic Kurta,Yarn Dyed | Cotton Polyester Broshia Jacquard,2990,GREEN,Top,Casual,Deep/Dark
EET23206,Classic Kameez,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EET23213,Classic Kurta,Yarn Dyed Embroidered | Yarn Dyed Stripes,3490,ORANGE,Top,Formal,Deep/Dark
EET23203,Classic Kurta,Yarn Dyed | Cotton Polyester Broshia Jacquard,3190,OFF-WHITE,Top,Casual,Light/Fair
EET23215T,Classic Kameez,Yarn Dyed | Yarn Dyed Stripes,2990,MULTI,Top,Casual,Deep/Dark
C2T23177BP,Culotte Pants,Block Printed | Dull Raw Silk,3190,RED,Bottom,Casual,Deep/Dark
EET23531,Drop Shoulder,Printed Embroidered | Crosshatch,3690,RUST,Other,Formal,Deep/Dark
EST23428,Classic Kameez,Printed Embroidered | Dull Raw Silk,4990,BLUE,Top,Wedding,Deep/Dark
EST23425,Classic Kameez,Yarn Dyed Embroidered | Cotton Polyester Broshia Jacquard,4490,RED,Top,Formal,Deep/Dark
EET23533,Contemporary Kurta,Dyed Embroidered | Khaddar,3990,BEIGE,Top,Casual,Light/Fair
EET23513,Drop Shoulder,Printed Embroidered | Khaddar,3190,OFF-WHITE,Other,Casual,Light/Fair
EET23529,Classic Kurta,Printed Embroidered | Crosshatch,3190,RUST,Top,Formal,Deep/Dark
EEB23512,Flared Kameez,Dyed | Crosshatch,4990,BLACK,Top,Casual,Deep/Dark
EET24148,Classic Kurta,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
ECT22457,Classic Kameez,Dyed | Cotton Satin Jacquard,3490,MULTI,Top,Casual,Deep/Dark
EET23210,Contemporary Kurta,Dyed | Cambric,3690,BLUE,Top,Casual,Deep/Dark
EET23214,Contemporary Kameez,Yarn Dyed | Yarn Dyed Stripes,3990,BLUE,Top,Casual,Deep/Dark
EET23211,Raglan,Dyed | Cambric,3690,BLUE,Top,Casual,Deep/Dark
