ID,Product Name,Product Description,Price,Color
EET23205,Drop Shoulder,Printed | Cambric,2690,TEAL
EET23212,Classic Kurta,Dyed | Cambric,3190,RED
EET23202,Classic Kurta,Yarn Dyed | Cotton Polyester Broshia Jacquard,2990,GREEN
EET23206,Classic Kameez,Printed | Cambric,2490,MULTI
EET23213,Classic Kurta,Yarn Dyed Embroidered | Yarn Dyed Stripes,3490,ORANGE
EET23203,Classic Kurta,Yarn Dyed | Cotton Polyester Broshia Jacquard,3190,OFF-WHITE
EET23215T,Classic Kameez,Yarn Dyed | Yarn Dyed Stripes,2990,MULTI
C2T23177BP,Culotte Pants,Block Printed | Dull Raw Silk,3190,RED
EET23531,Drop Shoulder,Printed Embroidered | Crosshatch,3690,RUST
EST23428,Classic Kameez,Printed Embroidered | Dull Raw Silk,4990,BLUE
EST23425,Classic Kameez,Yarn Dyed Embroidered | Cotton Polyester Broshia Jacquard,4490,RED
EET23533,Contemporary Kurta,Dyed Embroidered | Khaddar,3990,BEIGE
EET23513,Drop Shoulder,Printed Embroidered | Khaddar,3190,OFF-WHITE
EET23529,Classic Kurta,Printed Embroidered | Crosshatch,3190,RUST
EEB23512,Flared Kameez,Dyed | Crosshatch,4990,BLACK
EET24148,Classic Kurta,Printed | Cambric,2490,MULTI
ECT22457,Classic Kameez,Dyed | Cotton Satin Jacquard,3490,MULTI
EET23210,Contemporary Kurta,Dyed | Cambric,3690,BLUE
EET23214,Contemporary Kameez,Yarn Dyed | Yarn Dyed Stripes,3990,BLUE
EET23211,Raglan,Dyed | Cambric,3690,BLUE
EET23203T,Contemporary Kameez,Yarn Dyed | Cotton Polyester Broshia Jacquard,3190,OFF-WHITE
EET23313,Contemporary Kameez,Dyed | Cotton Cottel,4190,RED
EES23510,Shawl,Yarn Dyed Embroidered | Rashmina Acrylic,3190,RUST
EES24205,Dupatta,Printed | Lawn,1990,MULTI
ESS23410,Dupatta,Yarn Dyed Embroidered | Cotton Polyester Broshia Jacquard,3990,GREEN
EES23515,Dupatta,Printed Embroidered | Light Khaddar,2490,RUST
EES24120,Dupatta,Dyed | Lawn,1990,MULTI
EES23517,Dupatta,Printed | Light Khaddar,1990,BLACK
EES23509,Stole,Yarn Dyed Embroidered | Rashmina Acrylic,1990,GREEN
EES23513,Dupatta,Printed | Light Khaddar,1990,BEIGE
EES24121,Dupatta,Dyed | Lawn,1990,MULTI
ESS23416,Dupatta,Yarn Dyed Printed | Polyester Net,3190,RED
ESS23415,Dupatta,Yarn Dyed Printed | Polyester Net,2990,MULTI
